base,predictor,r,p,n,sig
fulfill,CRT2+Core4,0.1254830950958925,0.3802761239260324,51,False
fulfill,CRT2+BCRT(all),0.14747393963253974,0.30173249936794444,51,False
fulfill,NFC,-0.27253010091236557,0.053014550190386034,51,False
health,CRT2,-0.04774797581430749,0.7393418002165206,51,False
health,Core3,-0.14461539826688402,0.31130288078770185,51,False
health,Core4,-0.12804855000108362,0.37053411502976363,51,False
health,CRT2+Core3,-0.10994231512736194,0.4424794600399622,51,False
health,CRT2+Core4,-0.10277926811547167,0.47294333602408667,51,False
health,CRT2+BCRT(all),-0.07092321936949396,0.6209106759211176,51,False
health,NFC,-0.06840254141925178,0.6334042454641158,51,False
home,CRT2,0.13859919770109158,0.3320714693454203,51,False
home,Core3,-0.013350286325969175,0.9259189687775367,51,False
home,Core4,0.00405848480991122,0.9774508404475535,51,False
home,CRT2+Core3,0.07653891305477001,0.5934587987528488,51,False
home,CRT2+Core4,0.08076381837760006,0.573168045810799,51,False
home,CRT2+BCRT(all),0.09056265741491361,0.5273777903599921,51,False
home,NFC,-0.0035319086556219216,0.9803759114842872,51,False
i,CRT2,-0.13974308269473998,0.3280573449361952,51,False
i,Core3,-0.18928501724860064,0.18341412414204306,51,False
i,Core4,-0.1732034533515248,0.22418795284811055,51,False
i,CRT2+Core3,-0.19072732123964148,0.180036531697626,51,False
i,CRT2+Core4,-0.18151603837382058,0.2023914733470047,51,False
i,CRT2+BCRT(all),-0.1523579191076018,0.2858249136951976,51,False
i,NFC,-0.08137545605421766,0.5702572023450734,51,False
illness,CRT2,0.05328861364736224,0.710349727482666,51,False
illness,Core3,0.1706475969369271,0.2312048030975531,51,False
illness,Core4,0.1904619823693197,0.1806545172424292,51,False
illness,CRT2+Core3,0.1278814525523854,0.3711640365844726,51,False
illness,CRT2+Core4,0.1428501563122544,0.3173087092056923,51,False
illness,CRT2+BCRT(all),0.16587689764650335,0.24470342714818094,51,False
illness,NFC,-0.002713160093119102,0.9849244611088308,51,False
insight,CRT2,-0.20907731781251104,0.1409067167000111,51,False
insight,Core3,-0.15467888457599221,0.2784614917265804,51,False
insight,Core4,-0.11436548421186234,0.4242254006770527,51,False
insight,CRT2+Core3,-0.21337376810319467,0.13273844735406382,51,False
insight,CRT2+Core4,-0.1858943381134646,0.19153305911919993,51,False
insight,CRT2+BCRT(all),-0.18570378220243347,0.19199682456665612,51,False
insight,NFC,0.12899255461716688,0.36698751658479356,51,False
lack,CRT2,-0.06482110921060655,0.6513302964367176,51,False
lack,Core3,-0.23633399961822474,0.0949854480660659,51,False
lack,Core4,-0.24383014475594048,0.08466136210165276,51,False
lack,CRT2+Core3,-0.17166286488291707,0.2283996048667538,51,False
lack,CRT2+Core4,-0.18095546511120678,0.2038124866889488,51,False
lack,CRT2+BCRT(all),-0.16818503380080546,0.23810714376025865,51,False
lack,NFC,0.13478709350758428,0.34566973549213786,51,False
leisure,CRT2,-0.14998502124773055,0.29348372621106367,51,False
leisure,Core3,-0.19145220688596085,0.17835600411305763,51,False
leisure,Core4,-0.24005248666337847,0.08974834172417379,51,False
leisure,CRT2+Core3,-0.19814963209496675,0.16336145888532982,51,False
leisure,CRT2+Core4,-0.22687010305979782,0.1093849452643445,51,False
leisure,CRT2+BCRT(all),-0.12853572526946025,0.36870124366735535,51,False
leisure,NFC,-0.3096141257219334,0.027041994746700437,51,True
male,CRT2,0.12442939960748635,0.38432117697990353,51,False
male,Core3,0.21335057422894524,0.1327815674588093,51,False
