base,CRT2,CRT2+Core4,Core4,CRT2+Core3,Core3,CRT2+BCRT(all),NFC
auxverb,0.03290426277173506,0.033008148127151,0.024338946960582683,0.053083576232566244,0.05916426367782165,0.01877978003191068,0.15501091858356164
tone_pos,0.08267538104533252,0.052506877332177106,0.009738357471640115,0.049699943127109125,-0.0007434200645445897,0.04900817853134552,0.154179987730272
home,0.13859919770109158,0.08076381837760006,0.00405848480991122,0.07653891305477001,-0.013350286325969175,0.09056265741491361,-0.0035319086556219216
swear,-0.08878259726203472,0.007827349680069212,0.09804071357436517,0.011247896293481016,0.11617014660969198,-0.04731400578991268,0.05163381044660483
focusfuture,-0.00392997021055728,-0.05288743565426733,-0.08560782444614866,-0.0600762847150312,-0.10300755215188201,-0.014082574840674053,-0.12115899922127336
tentat,0.061688632984708974,0.002927336811697222,-0.05398567698111271,0.008992543679878692,-0.05070925420756418,0.00912759267867609,0.26258283267630356
family,-0.07433969767549925,-0.025969157717851365,0.027138380860930008,-0.0007018881221385662,0.07920353729677028,0.0401506896487534,-0.20607628414833903
negate,0.09156331501664015,-0.027919919499989062,-0.13464692616221718,0.026845851034567946,-0.05116665443421488,-0.04423175618666612,0.08971413872769768
emotion,-0.05913463473845569,-0.03791765992899793,-0.007576194921727931,-0.07175511068356151,-0.0641119156304587,-0.06877684538531505,-0.1587593422850666
female,-0.07823089666587599,-0.04914057616690267,-0.008296298384596586,-0.03563282567931583,0.021048819022620353,-0.033229478054128694,-0.2508258713188154
OtherP,0.029307510340849507,0.06320970905216791,0.0788055595485589,0.06980735491340927,0.09291580182015577,0.04001103883325123,0.10245130805600876
certitude,0.11208784356102543,-0.02126322299040466,-0.14300665554671452,0.006917937657679388,-0.10895956027881087,0.07271953471850641,0.056990369343638526
emo_anger,0.013515019818212395,-0.05690868471346986,-0.10906780909325615,-0.038111822480066976,-0.08267238663525908,-0.09916198742044435,-0.12543653430505466
we,0.12065002842716535,0.06267748059004927,-0.00935434948513975,0.07936563420323912,0.011122680740812818,0.07773067900763111,0.1651306234604357
curiosity,0.15962227498197085,0.0602944219346185,-0.05061158764467256,0.07975023751264461,-0.030369699260210832,0.0880263321842879,0.06223188702059554
moral,-0.0024338163052578994,-0.08327179855778703,-0.1383765842127899,-0.0766723565100365,-0.13425763587939424,-0.08555213162742042,-0.05494754775921752
differ,0.03703788724292042,0.0654538906120405,0.07521255663849967,0.09496532068565716,0.12946666013133615,0.06524789892455826,-0.1147640469177124
Comma,-0.026702931421773525,0.0927868688934568,0.18228857777833982,0.03507436827897571,0.09152235181506804,0.07252926146432238,-0.09182642522490372
focuspast,0.08376927660712054,0.014899145223349813,-0.054851211049061696,-0.01162944509747323,-0.11142552945055968,0.013179995103955686,0.3060507750212041
politic,0.12393357087876601,0.08695183558858381,0.0285244273209502,0.0868691575554145,0.02096583179748043,0.16799881987308402,-0.09851828371335208
conflict,0.12225199283793935,-0.03649394553634435,-0.1784514456273243,-0.02917732700291094,-0.18440496614452476,0.01075716736857923,0.06072621587738752
conj,-0.212847690004232,-0.03326807263868101,0.1471240146354563,-0.06768928053401484,0.10950850955079242,-0.04703777640833019,0.018422163652845595
filler,0.05743925100553217,0.10647993346060673,0.12504325016051274,0.09340883299604331,0.10460761077257869,0.05819435523184273,0.09431900271399972
health,-0.04774797581430749,-0.10277926811547167,-0.12804855000108362,-0.10994231512736194,-0.14461539826688402,-0.07092321936949396,-0.06840254141925178
they,-0.19802990767158246,-0.12145401377131884,-0.016036498087128773,-0.12881654003464924,-0.01566586568167731,-0.1552382066220795,0.05811249883577215
allnone,0.09199805166981037,-0.041440447321349924,-0.15790742969411373,-0.0556311110369299,-0.19889249078813648,-0.02691450705260977,0.12585696029105764
adverb,0.17628014677835427,0.09869403511511847,-0.0016424830929565287,0.0844059843998422,-0.04008582970211931,0.06713038861236967,0.23121499752059865
cause,-0.13406633457441253,-0.09427619332823428,-0.031220202833356477,-0.10536761557882071,-0.04302666169949827,-0.11190071268623965,0.18084378156740694
det,-0.09018696274338855,-0.11362640273973963,-0.1058341180598569,-0.09016722009366912,-0.06337765920703177,-0.11229150124091875,-0.133348969142297
relig,-0.13408476201364314,-0.11662997246940719,-0.06897304947150072,-0.11410429389453222,-0.05860528507952445,-0.1447684703742973,-0.07199907291081531
