dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
full,CognitiveComplexity,differ,crt2_total,crt2_total,0.02335380392356058,0.021243027406825665,-0.01828252979381772,0.06499013764093889,0.2716096481865167,binomial_cluster,477,1.099363262886753,0.49243391891826604,False
full,CognitiveComplexity,differ,bcrt_core3,bcrt_core3_total,-0.0015412706726677273,0.021026678847637956,-0.042753561214038116,0.03967101986870267,0.9415668197527377,binomial_cluster,477,-0.07330071876000839,0.9618309026846242,False
full,CognitiveComplexity,differ,bcrt_core4,bcrt_core4_total,-0.017050618093580463,0.01677300133238976,-0.0499257007050644,0.01582446451790347,0.3093668809122556,binomial_cluster,477,-1.0165514063755905,0.9281006427367668,False
full,CognitiveComplexity,differ,crt2_plus_core3,crt2_plus_core3_total,0.008997457832454436,0.012549038548164988,-0.01559865772194894,0.03359357338685781,0.4733840686338855,binomial_cluster,477,0.7169838388750595,0.9711559441783733,False
full,CognitiveComplexity,differ,crt2_plus_core4,crt2_plus_core4_total,-0.00010136651455446629,0.011120923313441009,-0.021898376208898843,0.02169564317978991,0.9927274332579763,binomial_cluster,477,-0.00911493692542168,0.9927274332579762,False
full,CognitiveComplexity,certitude,crt2_total,crt2_total,-0.02505199539276081,0.05854386060318298,-0.13979796217499946,0.08969397138947782,0.6687105275312228,binomial_cluster,477,-0.42791840399057585,0.6687105275312227,False
full,CognitiveComplexity,certitude,bcrt_core3,bcrt_core3_total,0.030337029443436535,0.06529265858992656,-0.09763658139281951,0.15831064027969258,0.6421953315139568,binomial_cluster,477,0.4646315542757969,0.9618309026846242,False
full,CognitiveComplexity,certitude,bcrt_core4,bcrt_core4_total,0.014433766458228857,0.048112022132505664,-0.07986579692148224,0.10873332983793996,0.7641746218358683,binomial_cluster,477,0.30000332179921096,0.9874456084282972,False
full,CognitiveComplexity,certitude,crt2_plus_core3,crt2_plus_core3_total,0.0012698726557793505,0.035119577155748746,-0.0675644985694882,0.0701042438810469,0.9711559441783733,binomial_cluster,477,0.03615854058116085,0.9711559441783733,False
full,CognitiveComplexity,certitude,crt2_plus_core4,crt2_plus_core4_total,-0.0016868372982362196,0.030500410721892975,-0.06146764231314645,0.058093967716674015,0.9558951632283869,binomial_cluster,477,-0.05530539616718735,0.9927274332579762,False
full,ToneAffect,emo_pos,crt2_total,crt2_total,0.015927976699964284,0.061005141634182296,-0.10364210090303302,0.13549805430296158,0.794021279464701,binomial_cluster,477,0.2610923648940362,0.794021279464701,False
full,ToneAffect,emo_pos,bcrt_core3,bcrt_core3_total,0.04449276427393196,0.06048037288571038,-0.07404876658206039,0.1630342951299243,0.46193992144170515,binomial_cluster,477,0.7356562493093393,0.6991778668103713,False
full,ToneAffect,emo_pos,bcrt_core4,bcrt_core4_total,0.030854693133694155,0.05063715935803481,-0.06839413920805407,0.13010352547544238,0.5423063433413448,binomial_cluster,477,0.6093290683139063,0.5423063433413448,False
full,ToneAffect,emo_pos,crt2_plus_core3,crt2_plus_core3_total,0.02370811474741629,0.03949105924523089,-0.053694361373236264,0.10111059086806884,0.548278784463681,binomial_cluster,477,0.6003413228344687,0.6716054475728468,False
