dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,FunctionAnalytic,i_Q2,bcrt_core4,seen_count,0.028740258084308204,0.052885477154880824,-0.0749152771392582,0.1323957933078746,0.030390740133280573,0.5868246216259501,0.01174259770033026,240,0.7364842954642304,False,False
full,FunctionAnalytic,i_Q2,crt2_plus_core3,crt2_plus_core3_total,-0.18343574526174877,0.12318895337627905,-0.4248860938792557,0.05801460335575817,-0.08775645566190214,0.13647156469554184,0.007551631630545286,240,0.6016213638286084,False,False
full,FunctionAnalytic,i_Q2,crt2_plus_core3,seen_count,0.015450359019479248,0.0502031626982195,-0.08294783986903097,0.11384855790798946,0.016337634983982566,0.7582674818303277,0.007551631630545286,240,0.8846453954687156,False,False
full,FunctionAnalytic,i_Q2,crt2_plus_core4,crt2_plus_core4_total,-0.14659912782159196,0.11056286075113976,-0.3633023348938259,0.07010407925064197,-0.07761393888563253,0.18486134523284115,0.0058570613850220665,240,0.5925517093967544,False,False
full,FunctionAnalytic,i_Q2,crt2_plus_core4,seen_count,0.0160758482633869,0.05062248944068641,-0.08314423104035847,0.11529592756713226,0.016999044530549522,0.7508161645477616,0.0058570613850220665,240,0.8759521919723885,False,False
full,FunctionAnalytic,ipron_Q1,crt2_total,crt2_total,-0.023987348792386346,0.12963185977596553,-0.2780657939532788,0.2300910963685061,-0.010984594430429519,0.8531960314410025,0.0009890294890655404,237,0.8988838796384216,False,False
full,FunctionAnalytic,ipron_Q1,crt2_total,seen_count,-0.018865162598457035,0.03816230551264207,-0.09366328140323549,0.05593295620632141,-0.029279518782717052,0.6210659231476343,0.0009890294890655404,237,0.9433023190646359,False,False
full,FunctionAnalytic,ipron_Q1,bcrt_core3,bcrt_core3_total,0.059325666386817265,0.16566004684463348,-0.2653680254286644,0.3840193582022989,0.026324060349041233,0.7202558144147432,0.0015199782854438126,237,0.8402984501505336,False,False
full,FunctionAnalytic,ipron_Q1,bcrt_core3,seen_count,-0.02281773966900991,0.03936680127291674,-0.09997667016392671,0.054341190825906896,-0.03541408316685096,0.5621716855507726,0.0015199782854438126,237,0.7170098832544239,False,False
full,FunctionAnalytic,ipron_Q1,bcrt_core4,bcrt_core4_total,0.008245180797314166,0.12753797482635373,-0.24172924986233912,0.2582196114569675,0.004322057543836744,0.9484536056278723,0.0008856482547459077,237,0.9615796986578761,False,False
full,FunctionAnalytic,ipron_Q1,bcrt_core4,seen_count,-0.019775140491075434,0.03914426603755111,-0.09649790192467561,0.05694762094252475,-0.03069184240620688,0.6134281072135019,0.0008856482547459077,237,0.7364842954642304,False,False
