base,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,n,r2,dataset,family,set,p_adj,sig_adj
auxverb,crt2_total,0.07346702553757348,0.2663692177504021,-0.44861664125321465,0.5955506923283616,0.024696427084563745,0.7826947766284098,103,0.042657949674339446,naive,FunctionAnalytic,crt2_total_stacked,0.7826947766284098,False
conj,crt2_total,-0.349790559180149,0.26560533746781995,-0.8703770206170761,0.1707959022567781,-0.13519220754056394,0.18785335301298312,103,0.020922262165896544,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
adj,crt2_total,0.3043506919027034,0.2252676347348004,-0.13717387217750537,0.7458752559829123,0.13112497675280851,0.17667535843581395,103,0.02506578691488659,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
insight,crt2_total,-0.3976654317159705,0.3139812392181248,-1.013068660583495,0.2177377971515541,-0.1906862080635057,0.20532479423943784,103,0.041025238224339566,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
cause,crt2_total,-0.1629707863300899,0.1593127540788764,-0.4752237843246877,0.14928221166450786,-0.12023272019308755,0.3063261312360124,103,0.02279828897795666,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
discrep,crt2_total,-0.056609309120206376,0.23088766195578922,-0.5091491265535533,0.3959305083131405,-0.02966633906443519,0.8063161488748068,103,0.001074274597066105,naive,CognitiveComplexity,crt2_total_stacked,0.8063161488748068,False
tentat,crt2_total,0.17757113220152201,0.2600001079498651,-0.33202907938021364,0.6871713437832576,0.0747195702749017,0.4946285738815893,103,0.007274234148250791,naive,CognitiveComplexity,crt2_total_stacked,0.7031830682724423,False
differ,crt2_total,0.14516032515750665,0.26651442703376677,-0.37720795182867617,0.6675286021436895,0.05980063771428097,0.5859858902270352,103,0.005571739289033206,naive,CognitiveComplexity,crt2_total_stacked,0.7031830682724423,False
certitude,crt2_total,0.08803687590503499,0.07194797754250665,-0.052981160078278036,0.22905491188834803,0.0941997188464914,0.22109617975823725,103,0.016265866635500337,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
emo_pos,crt2_total,0.06531587140742778,0.04720102793176004,-0.02719814333882188,0.15782988615367743,0.11523251885294725,0.16642561483786023,103,0.053127003750181645,naive,ToneAffect,crt2_total_stacked,0.3108204597978689,False
emo_neg,crt2_total,-0.14115428998859048,0.13927382025994112,-0.41413097769807505,0.1318223977208941,-0.15025301137154912,0.3108204597978689,103,0.06508208784637792,naive,ToneAffect,crt2_total_stacked,0.3108204597978689,False
focuspast,crt2_total,0.2381381439937535,0.3361064352752054,-0.4206304691456491,0.8969067571331562,0.08271433592793688,0.4786223736212969,103,0.1549564828319332,naive,TimeFocus,crt2_total_stacked,0.4786223736212969,False
focuspresent,crt2_total,0.28836944951459303,0.2773754545142629,-0.25528644133336215,0.8320253403625482,0.122217096180874,0.29850914293859654,103,0.031061332814368736,naive,TimeFocus,crt2_total_stacked,0.4786223736212969,False
want,crt2_total,0.05822649784389733,0.05240896191761204,-0.04449506751462226,0.16094806320241692,0.1285329736200804,0.26656719000366047,103,0.039841214061461794,naive,Motivation,crt2_total_stacked,0.5331343800073209,False
risk,crt2_total,-0.02743514910511377,0.09410280140015737,-0.2118766398494222,0.15700634163919466,-0.036372324425038474,0.7706349564047421,103,0.0800316521940001,naive,Motivation,crt2_total_stacked,0.7706349564047421,False
