dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,Motivation,want_Q1,crt2_plus_core4,seen_count,0.0019500119664250864,0.010854639670283597,-0.019325081787330764,0.02322510572018094,0.012718657928505092,0.8574290884395933,0.005657516178175115,237,0.8574290884395933,False,False
full,Motivation,want_Q2,crt2_total,crt2_total,-0.005365719298480277,0.03226734141136804,-0.06860970846476164,0.05787826986780109,-0.010920702644832248,0.867929147598497,0.004052185967110877,240,0.9954817210532799,False,False
full,Motivation,want_Q2,crt2_total,seen_count,0.00912028491528984,0.009503059764285164,-0.009505712222709083,0.027746282053288763,0.06291187717479114,0.33719570980457136,0.004052185967110877,240,0.4495942797394285,False,False
full,Motivation,want_Q2,bcrt_core3,bcrt_core3_total,0.06751606717535837,0.030957021192546313,0.006840305637967593,0.12819182871274915,0.1331491030988524,0.029186274266278924,0.020871722205423104,240,0.1167450970651157,True,False
full,Motivation,want_Q2,bcrt_core3,seen_count,0.0050170564620791525,0.009617256677807535,-0.013832766626423618,0.02386687955058192,0.03460773899641765,0.6018985105055419,0.020871722205423104,240,0.8025313473407225,False,False
full,Motivation,want_Q2,bcrt_core4,bcrt_core4_total,0.06743115318838563,0.02497676463021556,0.01847669451316314,0.11638561186360813,0.15709841549666706,0.006939048878234402,0.02718893664519162,240,0.027756195512937606,True,True
full,Motivation,want_Q2,bcrt_core4,seen_count,0.0036210737200389623,0.00935932249916982,-0.014723198378333885,0.021965345818411808,0.024978226802327433,0.698834050334445,0.02718893664519162,240,0.9223334930929656,False,False
full,Motivation,want_Q2,crt2_plus_core3,crt2_plus_core3_total,0.023984085782223614,0.019447334280325055,-0.014132689407213496,0.062100860971660725,0.07485001637584561,0.21746983340428638,0.009417298742047442,240,0.6642600702449587,False,False
full,Motivation,want_Q2,crt2_plus_core3,seen_count,0.007515468908000518,0.009453356237072922,-0.01101310931666241,0.026044047132663443,0.05184182964047943,0.42661038243934235,0.009417298742047442,240,0.5688138432524564,False,False
full,Motivation,want_Q2,crt2_plus_core4,crt2_plus_core4_total,0.027883398460372757,0.01758187373659,-0.006577074063343638,0.06234387098408915,0.09630030611848353,0.1127580613655622,0.012929972558002212,240,0.43319491802878685,False,False
