base,Core4,Core3,CRT2+BCRT(all),CRT2+Core4,NFC,CRT2,CRT2+Core3
work,0.02412432195410125,-0.009684563385457333,0.027710308903194338,0.03469152846077829,0.05970088270357452,0.03106959906792064,0.014275334325969044
you,0.02518922958150368,0.019249133044370002,-0.033576383576228115,-0.0020757575372008946,-0.08112825639209383,-0.032185785477897466,-0.00896423344659734
emo_neg,0.0700874555775475,0.033442300544329305,-0.015527189723596272,0.010119224638548207,-0.004444284594852399,-0.06273318275439566,-0.02004781873559369
nonflu,-0.03121417370960758,-0.06254511019025495,-0.027161763337952907,-0.013047211911526798,-0.05513234397306134,0.013527230983815057,-0.0306422444565788
need,-0.01770702038196593,-0.0011489655296804465,-0.05306103625774675,-0.0469121927481797,0.016234350076727296,-0.05899869967926877,-0.03945442277043011
emotion,0.06036443851902059,0.01753075120623426,0.014444282422467127,0.028119886299128993,-0.09613199617626247,-0.021286425679513204,-0.0028954242280347046
male,-0.01769186411584836,0.002751915085976216,-0.052870238903186824,-0.050596438653951255,-0.012304833510027683,-0.06523292028079355,-0.04108179552925008
Period,0.06434606865126852,0.032856198241648434,0.05553568210961398,0.044353324436506844,-0.023380616986587163,0.0015727119804116692,0.021794015990271153
polite,-0.018823977610258065,-0.021357381542910316,-0.033019847356564574,-0.038995009003993414,0.04761347949936648,-0.04436700514627109,-0.04261935143560703
mental,0.04170845701381946,0.05462537107358028,0.014297336565089871,0.04461271897978391,-0.012857167545524205,0.027787949134135955,0.052758247354006936
Conversation,0.010767429305410128,-0.028827091905603366,-0.0426841867918439,-0.010759616263894786,-0.0905795482743569,-0.030417167335526952,-0.03818235467045434
family,-0.06142056775357423,-0.03453040981052132,-0.02587540097242838,-0.03748028548727191,-0.07596695117437276,0.006693885281356467,-0.017425514859099534
adverb,-0.006662303546349193,-0.027529790490249156,0.061279245144630574,0.02212413016840147,-0.08976630078851937,0.044919638557519716,0.01209059096969093
motion,-0.07531721073962641,-0.05432671361538936,-0.021358655698749698,-0.0039470663056812225,0.017789966284893294,0.07910349957886255,0.017597011735833168
netspeak,0.039673309554987046,0.005376175953972438,-0.03476475803310688,-0.004645354010004998,-0.104054976970928,-0.05301490775077281,-0.031403294646596545
conj,-0.002885482265723456,0.015686234282366648,0.06488058578624059,0.03974569741640343,0.0291081775920428,0.0703543841769993,0.05609462896606126
prep,0.007620303979995275,0.06600580705724295,0.016955642219341142,0.03218305757445425,0.038706649818318006,0.045629872344116994,0.07166141763145646
space,0.0664005514971338,0.0783350834377159,0.04164565429417615,0.01910455563037995,-0.022917090632671357,-0.04337264158411771,0.021028475295051183
money,-0.013809596341096938,0.018592528623868794,0.01029755810603252,0.04049195595045584,-0.06183381588153144,0.08405297914446104,0.06692324094607159
cause,0.04495292930273434,0.0795775946476579,-0.04136349499516981,-0.005846052896426568,0.057333584760080596,-0.06105294145656109,0.010207767263617095
moral,0.038726511726995705,0.051397646170246496,-0.02608659399948304,-0.012766706612792658,-0.0953021289561503,-0.06564112129188343,-0.010610790747992836
home,0.027193642627526975,0.044177763133922195,0.015267037944737657,0.029920798858736733,0.1251448608825594,0.019524209952193207,0.04073191390262764
tentat,0.016113272548132572,0.012204312720751833,0.0685947922025184,0.04692825872865186,0.05038952362731066,0.060840616059301494,0.04764931892679412
assent,-0.06269602003170607,-0.06161115599718895,-0.0491812101124319,-0.03369455718378289,0.05283470756528208,0.014534455073076392,-0.02939091405420847
curiosity,-0.0657983379194817,-0.06302850332139356,-0.023448616758299814,-0.03569715680817584,0.07320453900963847,0.014687798095995883,-0.03018586907224749
emo_pos,0.020083341733908286,0.01997014008797082,0.03179159964434496,0.01945887412208214,-0.1898484012744875,0.009966811106245666,0.01916151115831423
det,-0.019464894405782508,0.0269782775513218,-0.043085422567338556,-0.07121636763601938,0.009546624257217943,-0.09800895965624806,-0.04728840534220711
substances,0.014300859153557239,0.02809890790538126,-0.06233301553320961,-0.04661610111610363,-0.026572468798453215,-0.09494653950297087,-0.04457002711342035
auditory,0.053252611727721,-0.024854857491338103,0.036625749712841785,0.04628425034709251,-0.1463881645430095,0.017463199178490957,-0.004242309558602157
leisure,-0.03518815778780122,-0.033774037404858126,-0.012135235526997168,-0.05360635138030509,-0.09044753413050652,-0.050388894885583756,-0.054418302281241115
health,-0.06292797121554454,-0.05041000758092634,-0.05329325356915195,-0.048236315399357764,-0.07011563128210219,-0.009739837666629643,-0.0382472976749512
achieve,-0.02126240992049127,0.010395538094289768,0.05330742196418299,0.049395410935151624,0.03765430276793438,0.10756361264618623,0.07717664745891148
emo_anger,-0.09511254640313159,-0.05652780595130295,-0.028187802177611423,-0.00241556105389596,0.04468877771685977,0.10422884447107252,0.03269913379448384
allnone,-0.0687647161463634,-0.09589338657696224,-0.02163300886804918,-0.031355403637256814,-0.08445616124888942,0.025392092199765313,-0.04392640260904549
i,-0.0785350817784352,-0.11015793694094829,-0.007261249561000777,-0.038102962413953265,-0.07732312016130792,0.02513150590202477,-0.053111146570297224
visual,0.1067310017452821,0.05590826676620171,0.059327368204789045,0.057297229094577615,-0.07912316933360715,-0.02484902491385818,0.019016518574631297
friend,-0.08731281870705535,-0.11347934722948352,-0.05692303984633151,-0.04840764982318851,-0.019819480249807,0.01773815130924608,-0.060063131659258424
insight,0.02260298090515735,0.0469851065730466,-0.04818585004872196,-0.04088274415609552,0.134549769618562,-0.09472546877254867,-0.03249082913679991
socbehav,0.06821072239640169,0.052654148893992586,0.04534474898885073,0.08917188571873395,-0.018383142632877134,0.07280087244741476,0.0810603862391518
fatigue,0.05831597288513494,0.09018364868271742,0.036552674576198346,0.05428227627692376,-0.09058650123325912,0.025193761489024583,0.07352442228980396
death,-0.09396413886460815,-0.10939483779207912,-0.04104651643156469,-0.053764840901593995,-0.05622673146020216,0.016272066564531864,-0.05844453256454518
feeling,0.11971095807855439,0.09440094278967338,0.019088132902770973,0.04088215143708617,-0.0786246913570701,-0.06732888379577098,0.015454851971550547
shehe,-0.04547450712902412,-0.023636577384327947,-0.08348803405952841,-0.09238144040046199,-0.025434187535274287,-0.10410662267790774,-0.08327431949702117
tech,0.003353150433121364,-0.012198859095382448,0.07338241660205307,0.08858140970625186,-0.04731257061915095,0.14565800810892854,0.08790560461172776
prosocial,0.05160248903267452,0.04853305684763534,0.08027275471547134,0.09104228090069402,-0.0007809604953407207,0.09486891152165473,0.09294237033578244
comm,0.112937794170049,0.07936287203304404,0.05490154927604491,0.07606059939167431,-0.0928104874258412,-0.00025456568485659244,0.049981841057672206
emo_anx,0.13582322528231458,0.06906212006674822,0.00026344768780727054,0.0070675274739540935,-0.07608042606347414,-0.14273629178293964,-0.05005613872209766
conflict,-0.12940133797975378,-0.11280235927667463,-0.010347744854997263,-0.023846811601499207,0.09950461346809358,0.10710954940279141,-0.0009694593585940047
emo_sad,0.040769945671273254,0.05403757432971634,-0.06812960091734246,-0.05341887717905739,-0.07844601654821069,-0.13656628579387986,-0.05549989862573897
ethnicity,0.0682808793035313,0.06658078847685742,0.08372552944375317,0.07443670988109787,-0.07452638840637421,0.04785618663900773,0.07348616012761426
illness,0.10133924917924583,0.11790471585154481,0.06838569528277923,0.08292772546023318,0.003776558366110939,0.02454063294289082,0.09061247428443513
relig,-0.038689990013258985,-0.029376961159542785,-0.12093223652113841,-0.08813235661502339,-0.03198995261420215,-0.10466207979390434,-0.0872662527851578
politic,0.09133696539990126,0.07164220164283218,0.11752350287692365,0.07950795933584137,-0.05069407334181222,0.03015959947782448,0.0650679029762717
negate,-0.13203625487430234,-0.11794479002843097,-0.04757742283429449,-0.032015960067957844,-0.07108798196278372,0.09632494973037102,-0.011298245068475021
Exclam,-0.040882598779722855,-0.03609466407697884,-0.0989316411013042,-0.08520558388524894,-0.0733346622080856,-0.09722658111603527,-0.08663026137760671
Culture,0.019312670347396036,0.0012232823744121846,0.09284388696210315,0.10217669351851733,-0.05752160384748003,0.15042614294403395,0.09951691624882888
OtherP,0.14824245817285536,0.12300038371010633,0.06322062319239315,0.1060772280735389,0.00014450273256760417,0.010195304986511394,0.08441572283138885
acquire,-0.05959040599038652,-0.010774098489667601,-0.09361638676516532,-0.12849630356945693,-0.0013905400398970262,-0.14897464513086728,-0.10459921855116407
risk,0.1382753082842938,0.08718388567782838,0.11218005445842452,0.09548578480441144,-0.05481578869844464,0.0036724541351054662,0.0575017006039816
they,-0.1257671342623318,-0.09721683026010744,-0.055791356707606446,-0.0368754806512407,0.15071629183475702,0.08098610796358602,-0.008269210914266314
verb,-0.1608034801396264,-0.14064200959529038,-0.06482336623854465,-0.09052419376712456,0.020132359105334452,0.03035286125771931,-0.06894641397814244
want,0.1332423261336353,0.11976932720831622,0.09286168529991011,0.09187088938283372,-0.08477150376888619,0.0033035905465407384,0.07785012242242095
tone_pos,0.11349317575225114,0.09854511072426718,0.12367915666091935,0.11253758715177822,0.005975821956031842,0.06066592789354512,0.1020929053501199
Apostro,0.13220126063332274,0.08113242625381595,0.11631569268344957,0.10217172941524302,-0.10311461923884702,0.02187115566036385,0.06562395510950071
article,-0.06033653532221346,-0.03455065170671279,-0.12005300159630479,-0.09582271452038198,0.1492116038421085,-0.09299014268528168,-0.082873692011714
female,-0.08868286913011697,-0.07756689626795646,-0.09286708908419587,-0.10997149337542614,-0.08013278866031535,-0.08458736403494908,-0.10453959188956709
we,-0.17655707472743384,-0.15528957174760485,-0.08652055795653571,-0.09279397699223957,0.028081162630457557,0.04446139723140481,-0.06894088680459003
fulfill,0.16823362558514537,0.18037513325421614,0.08387029070195312,0.11004614664466968,-0.016823866540628233,-0.005871371817303459,0.110123882632978
focuspresent,0.1490206461932369,0.09611235235900452,0.10610591687041902,0.09592882400264359,-0.1717902891965422,-0.00781569338069856,0.0556024060361256
attention,0.16625263941325405,0.1386432850365727,0.1259482975746584,0.09537347349281533,-0.06646654748798475,-0.02837494438579172,0.06898179135931931
