Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
R_9S8kFXSoliHXPI0.txt,1,127,14.17,1,98.85,20.23,21.17,23.62,96.06,73.23,61.42,14.17,9.45,9.45,0,0,0,0,4.72,18.11,8.66,0.79,7.09,12.6,6.3,9.45,3.94,22.83,3.94,1.57,7.87,3.94,3.15,0.79,35.43,1.57,23.62,7.87,2.36,3.15,1.57,0,9.45,0,4.72,2.36,2.36,0.79,0,0.79,0,0.79,0,0,7.87,5.51,0,0,0.79,1.57,1.57,2.36,0,2.36,0,0,0.79,0,0,0.79,7.09,2.36,0,0.79,3.94,0,4.72,0.79,0,0,0,0,0,3.15,0.79,0,0,0,0,0,0,0,0,0,12.6,4.72,0,0.79,3.15,0.79,0,0.79,3.15,3.94,6.3,3.15,0,0,0,0,0,8.66,4.72,3.15,0,0,0,0.79,0
R_4dNq3BiOufhobBG.txt,1,144,39.29,16.26,80.79,83,24,11.11,96.53,72.92,61.81,16.67,12.5,8.33,0.69,0,0,3.47,4.17,15.28,9.03,0.69,12.5,11.81,3.47,6.94,2.78,18.75,5.56,5.56,7.64,6.25,1.39,0.69,31.25,2.08,17.36,3.47,4.86,5.56,0,0,3.47,0,5.56,4.86,0.69,1.39,0.69,0.69,0,0.69,0,0,15.28,6.25,0.69,0,0.69,0,2.78,9.03,0,3.47,0,0,0.69,0,0,0.69,2.78,0.69,0,2.08,0,0,1.39,0,0,0,0,0,0,1.39,0,1.39,0,0,0,0.69,0,0,0,0,12.5,5.56,0,0,5.56,0,0,0,7.64,4.17,4.86,4.17,0,0,0,0,0,5.56,4.17,0,0,0,1.39,0,0
R_4PRyBwd0Rj1hXAv.txt,1,100,19.3,34.37,75.94,67.48,25,15,97,76,66,19,13,7,1,0,0,5,6,17,12,0,10,13,8,8,2,22,0,0,7,5,1,1,36,2,20,7,4,6,1,0,3,0,3,3,0,1,1,0,0,0,0,0,12,2,1,0,0,0,1,10,0,3,0,0,0,0,0,0,5,1,0,4,0,0,2,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,13,5,1,1,2,1,0,0,8,8,5,2,0,0,0,0,0,6,4,0,0,0,2,0,0
R_92XU34cSilT3AQN.txt,1,60,1.62,1,51.55,1,12,15,96.67,85,70,23.33,18.33,15,0,0,3.33,0,5,16.67,8.33,0,6.67,18.33,5,11.67,1.67,28.33,5,3.33,1.67,1.67,0,0,31.67,0,18.33,3.33,3.33,6.67,1.67,0,5,0,5,0,5,3.33,0,3.33,1.67,1.67,0,0,11.67,6.67,0,0,1.67,0,5,5,0,1.67,3.33,0,0,0,0,0,5,0,0,3.33,1.67,0,3.33,1.67,0,0,0,0,0,1.67,0,0,1.67,0,0,0,0,0,0,0,5,3.33,1.67,0,1.67,1.67,0,0,3.33,3.33,3.33,5,0,0,0,0,0,16.67,8.33,5,0,0,3.33,0,0
R_4kppi5Tsg3rTVkZ.txt,1,119,3.11,18.83,99,20.23,17,13.45,96.64,82.35,60.5,23.53,20.17,12.61,4.2,3.36,0,0,3.36,12.61,8.4,0.84,6.72,10.92,5.88,11.76,4.2,29.41,1.68,1.68,6.72,5.04,1.68,0,40.34,1.68,21.85,8.4,5.88,3.36,0,0.84,3.36,0,1.68,0.84,0.84,0.84,0,0.84,0,0.84,0,0,16.81,8.4,0,0,0,0,7.56,8.4,0,0,0,0,0,0,0,0,5.04,0.84,0,0.84,3.36,0,0.84,0,0,0,0,0,0,0.84,0,1.68,0.84,0.84,0,0,0,0,0.84,0,10.92,4.2,0,1.68,2.52,0,0,0.84,8.4,7.56,4.2,4.2,0.84,0,0.84,0,0,21.85,4.2,5.04,3.36,0,7.56,1.68,0
R_9fA6B5uPjcqDdWF.txt,1,112,71.85,11.66,29.66,47.3,10.18,18.75,92.86,70.54,56.25,11.61,8.93,5.36,0.89,0,0,2.68,2.68,14.29,10.71,0.89,14.29,8.93,2.68,8.93,1.79,19.64,5.36,0.89,11.61,6.25,5.36,0,33.04,0,27.68,3.57,3.57,8.93,6.25,0.89,8.93,0,7.14,4.46,2.68,2.68,1.79,0.89,0,0.89,0,0,15.18,6.25,0,0,1.79,0,3.57,8.93,0,5.36,0,0,1.79,1.79,0,0,4.46,1.79,0,0.89,1.79,0,4.46,0.89,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,12.5,4.46,0.89,0,3.57,0,0,0,2.68,1.79,1.79,0.89,0,0,0,0,0,18.75,9.82,2.68,0,0,4.46,1.79,0
R_4mlxyaZfyHqzoIs.txt,1,151,17.01,19.78,71.15,61.92,21.57,18.54,94.04,76.16,60.26,12.58,8.61,4.64,1.32,1.32,0,1.32,3.97,11.92,7.95,0.66,9.27,16.56,5.96,7.95,3.31,27.81,6.62,2.65,5.3,3.31,1.32,0.66,35.76,0,19.21,5.3,3.31,4.64,3.97,0,3.97,0,5.3,3.97,1.32,0.66,0.66,0,0,0,0,0,10.6,5.3,0,0,0,1.32,2.65,5.3,0,1.32,0,0,0.66,0,0,0.66,3.97,0.66,0,1.99,1.32,0,2.65,0.66,0,0,0,0,0,1.99,0,0,0,0,2.65,0,0,0,0,0,9.27,7.28,1.32,1.32,3.31,1.99,0,0,7.28,5.3,8.61,0.66,0,0,0,0,0,11.92,4.64,4.64,0,0,1.99,0.66,0
R_9PRjj1DrQC42Avg.txt,1,138,6.8,10.88,65.33,20.23,46,20.29,96.38,76.09,60.14,15.94,12.32,7.97,0,1.45,0.72,1.45,3.62,14.49,6.52,0,8.7,13.04,9.42,11.59,1.45,21.74,5.8,5.07,3.62,1.45,0.72,1.45,36.96,1.45,21.74,4.35,0.72,6.52,5.07,1.45,4.35,0,5.8,2.9,2.9,2.9,2.17,0.72,0,0,0.72,0.72,11.59,5.07,0,0,0,0.72,3.62,6.52,0,0.72,0.72,0,0,0,0,0,7.25,2.17,0,2.9,2.17,0,5.07,0.72,0,0,0,0,0,2.9,0.72,0,0.72,2.17,0,0,0,0,0.72,0,7.25,4.35,0,0,4.35,0,0,0,6.52,5.07,4.35,2.17,5.8,5.8,0,0,0,7.97,1.45,1.45,0,0,3.62,1.45,0
R_9QD8SaZyhUCSZNv.txt,1,41,16.76,54.61,42.46,3.01,10.25,7.32,95.12,70.73,53.66,21.95,14.63,7.32,0,0,7.32,0,7.32,17.07,7.32,0,4.88,12.2,0,7.32,0,21.95,4.88,2.44,4.88,4.88,0,0,29.27,0,21.95,9.76,2.44,4.88,7.32,0,2.44,0,7.32,2.44,4.88,2.44,0,2.44,0,0,0,0,17.07,4.88,0,0,0,0,4.88,12.2,0,4.88,0,7.32,0,0,0,0,2.44,0,0,2.44,0,0,2.44,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63,7.32,0,0,7.32,0,0,0,2.44,0,7.32,0,4.88,4.88,0,0,0,9.76,7.32,0,0,0,2.44,0,0
R_4K6A3cW1Y4DCpEZ.txt,1,133,2.02,1,98.93,1.74,19,13.53,94.74,78.2,64.66,19.55,15.79,13.53,0,0.75,0,1.5,3.76,10.53,3.76,2.26,9.02,14.29,10.53,10.53,1.5,22.56,6.77,3.01,2.26,0,1.5,0.75,34.59,0,18.05,2.26,4.51,4.51,3.01,0,5.26,0,6.02,1.5,4.51,2.26,0,2.26,0,1.5,0,0,11.28,7.52,0.75,0,0.75,1.5,3.76,3.76,0,0,0,0,0.75,0,0,0.75,3.01,0.75,0,2.26,0,0,0.75,0,0,0,0,0,0,0.75,0,0,0,0.75,0,0.75,0,0,2.26,1.5,4.51,7.52,4.51,0.75,2.26,1.5,0,0,11.28,6.02,6.02,0.75,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0
